package,last_modified,first_release
dseplus,2008-02-16,2000-09-28
DSI,2021-03-15,2020-04-03
DSL,2020-01-15,2011-12-14
dslabs,2021-04-30,2017-01-19
dslice,2018-11-17,2014-07-01
DSLite,2021-03-16,2020-04-10
dsm,2021-03-27,2012-11-24
dsmisc,2020-09-12,2020-09-09
dsmodels,2020-03-29,2016-11-11
DSMolgenisArmadillo,2021-03-21,2020-11-18
DSOpal,2021-03-16,2020-04-27
DSpat,2021-02-13,2009-05-06
dsr,2020-08-26,2018-07-22
dsrTest,2017-05-02,2017-04-24
DSSAT,2020-05-18,2020-03-19
dssd,2021-02-25,2019-08-05
DSsim,2020-02-29,2013-12-19
dst,2020-03-28,2015-01-13
dstack,2020-08-12,2020-03-24
DstarM,2020-08-28,2016-08-29
DT,2021-04-14,2015-06-09
dtables,2020-01-20,2016-05-14
dtangle,2019-12-01,2017-05-30
DTAT,2020-04-03,2019-02-18
DTComPair,2014-02-16,2013-01-26
DtD,2020-02-11,2018-05-02
DTDA,2021-04-11,2009-09-21
DTDA.cif,2020-02-13,2019-08-02
dti,2020-01-11,2008-05-21
DTK,2013-07-01,2009-02-27
dtpcrm,2019-08-20,2019-04-10
dtplyr,2021-02-20,2016-06-27
DTR,2015-12-31,2013-06-12
dtree,2018-01-19,2017-04-20
DTRlearn,2019-04-22,2015-10-23
DTRlearn2,2020-04-22,2019-01-03
DTRreg,2020-09-13,2016-03-09
dtrSurv,2021-05-04,2020-12-09
DTSg,2021-05-30,2019-03-13
dtt,2012-11-01,2012-10-29
dttr2,2020-07-10,2019-06-28
dtw,2020-09-28,2007-12-02
DTWBI,2018-07-11,2018-05-29
dtwclust,2019-12-11,2015-08-02
dtwSat,2020-03-03,2015-10-10
dualScale,2018-06-17,2014-01-27
duawranglr,2021-04-15,2018-09-16
dub,2018-10-27,2018-02-16
DUBStepR,2021-06-03,2021-03-15
duckdb,2021-05-09,2020-09-10
dummies,2012-04-20,2009-08-21
dummy,2015-05-07,2014-11-08
dunn.test,2017-10-27,2014-08-25
DunnettTests,2013-12-14,2013-11-12
dupiR,2014-12-29,2013-06-20
dupree,2020-04-21,2019-11-10
durmod,2020-03-30,2019-06-28
dvfBm,2018-05-03,2009-11-22
DVHmetrics,2021-04-16,2015-01-29
dvir,2021-05-18,2021-03-29
dvmisc,2019-12-16,2017-11-06
dvn,2018-05-17,2013-01-31
dwapi,2020-01-01,2017-05-18
DWD,2014-09-19,2011-11-06
dwdradar,2020-06-05,2019-10-24
DWLasso,2017-10-06,2017-08-25
DWreg,2016-07-18,2015-12-09
dyad,2012-06-24,2009-03-24
dyads,2021-04-16,2017-10-10
dycdtools,2020-10-27,2020-09-02
dygraphs,2018-07-12,2014-12-23
DYM,2016-01-22,2015-06-15
dyn,2018-03-19,2005-05-21
dynamac,2020-04-03,2018-05-09
DynamicDistribution,2013-12-05,2013-11-30
DynamicGP,2020-04-19,2018-04-13
dynamicGraph,2021-06-08,2004-01-30
dynamichazard,2021-01-26,2016-12-28
dynamicTreeCut,2016-03-11,2008-04-04
dynamo,2020-12-10,2008-05-26
DynaRankR,2020-02-13,2019-01-19
DynareR,2020-08-11,2020-06-25
dynaSpec,2021-02-15,2020-06-22
dynatopmodel,2018-01-19,2014-05-13
dynaTree,2017-03-15,2010-06-02
dynBiplotGUI,2020-12-07,2013-11-04
DynClust,2014-04-25,2012-08-30
DynComm,2020-10-07,2020-08-24
dyncomp,2018-08-16,2017-12-11
dynCorr,2017-12-10,2012-10-29
dyndimred,2021-03-18,2019-05-24
dynfrail,2020-10-28,2017-10-30
dyngen,2021-04-12,2020-09-10
dynGraph,2013-04-12,2009-05-17
dynlm,2019-01-06,2005-04-27
DynNom,2019-06-20,2014-10-04
dynOmics,2020-09-25,2016-11-10
dynparam,2021-01-05,2019-04-04
dynpred,2014-05-31,2011-11-03
dynprog,2019-12-09,2018-03-27
dynr,2021-03-07,2016-06-09
dynRB,2021-05-11,2015-05-06
dynsbm,2020-02-19,2017-02-24
dynsim,2015-12-19,2013-11-06
dynsurv,2020-09-07,2011-11-27
DynTxRegime,2020-11-09,2015-06-11
dynutils,2021-03-22,2018-06-24
dynwrap,2021-03-23,2019-10-11
DySeq,2017-03-06,2016-04-18
DysPIA,2020-07-10,2020-06-24
DysPIAData,2021-03-16,2020-06-16
DZEXPM,2020-01-16,2017-06-24
e1071,2021-05-23,1999-06-07
E4tools,2019-07-07,2019-06-28
eadrm,2020-07-05,2020-04-28
eaf,2021-05-07,2011-02-20
Eagle,2021-06-10,2017-08-28
EAinference,2017-12-02,2017-09-16
EAlasso,2017-09-11,2017-09-01
eAnalytics,2018-12-02,2016-07-29
earlygating,2021-05-18,2018-08-30
earlyR,2020-10-27,2017-12-06
earlywarnings,2014-04-12,2013-02-27
earth,2020-10-11,2007-04-19
earthtide,2021-06-04,2019-03-15
earthtones,2019-01-13,2016-09-01
easi,2014-08-22,2012-07-04
easingr,2014-12-29,2014-06-29
EasyABC,2015-09-02,2012-11-20
easyAHP,2017-11-18,2017-07-29
easyalluvial,2021-01-13,2018-12-18
easyanova,2019-07-27,2012-07-09
easyCODA,2020-09-19,2018-05-30
easycsv,2018-05-21,2017-08-08
easyDes,2019-02-25,2017-01-03
easyformatr,2019-03-01,2016-04-12
EasyHTMLReport,2013-08-13,2013-03-24
EasyMARK,2021-02-05,2014-04-28
easyml,2018-01-27,2017-06-26
EasyMx,2020-01-30,2017-05-02
easyNCDF,2020-03-16,2017-04-08
easynls,2017-11-15,2014-02-06
easyPSID,2020-02-16,2019-07-01
easyPubMed,2019-03-29,2016-01-06
easyr,2021-06-02,2019-11-13
easyreg,2019-09-13,2016-10-13
easySdcTable,2021-05-20,2016-12-30
easystab,2014-03-07,2013-03-07
EasyStrata,2018-05-09,2014-06-24
EasyUpliftTree,2013-12-21,2013-03-26
easyVerification,2017-12-04,2015-10-15
eatATA,2021-05-03,2020-09-15
eatDB,2020-07-17,2020-04-07
eatGADS,2021-02-23,2020-11-25
eatRep,2021-03-02,2021-01-08
eatTools,2021-02-09,2020-09-17
eba,2020-11-21,2004-07-21
ebal,2014-01-27,2011-07-27
EbayesThresh,2017-08-08,2005-03-26
ebdbNet,2016-11-21,2009-11-11
EBEN,2015-10-07,2014-06-09
ebGenotyping,2016-04-13,2015-05-05
EBglmnet,2016-01-30,2014-11-10
ebimetagenomics,2020-03-07,2016-10-16
ebirdst,2021-01-16,2019-04-04
EBMAforecast,2020-10-28,2012-06-14
ebmc,2021-03-16,2017-08-29
ebmstate,2021-01-05,2020-08-19
EBPRS,2020-08-26,2018-11-03
ebreg,2021-05-26,2019-10-29
EBS,2018-06-01,2012-07-09
eBsc,2021-01-06,2020-07-06
ecap,2020-07-23,2020-06-29
eCAR,2021-04-29,2021-01-14
ecb,2021-03-21,2015-12-11
ECctmc,2018-05-01,2016-02-12
ecd,2017-10-03,2016-01-04
Ecdat,2020-11-03,2005-03-01
ecdfHT,2016-09-09,2016-09-01
ecespa,2021-03-15,2007-11-04
ECFsup,2020-10-28,2017-06-17
Ecfun,2020-10-27,2014-04-08
ech,2020-11-08,2020-09-18
ECharts2Shiny,2017-12-11,2016-07-01
echarts4r,2021-03-07,2018-09-17
echarty,2021-03-31,2021-02-16
echo.find,2020-06-10,2018-05-27
echogram,2019-12-16,2017-02-08
echor,2020-08-05,2018-04-23
ecipex,2020-03-14,2014-08-09
ecm,2021-05-28,2016-10-21
ecmwfr,2020-07-13,2019-01-17
eco,2020-03-17,2004-12-21
ecodist,2020-08-28,2006-04-09
ecoengine,2020-02-24,2014-01-18
EcoGenetics,2021-01-10,2015-01-30
EcoHydRology,2018-09-24,2011-06-17
EcoIndR,2021-05-25,2017-03-13
ECoL,2019-11-05,2018-01-22
ecolMod,2014-12-29,2008-06-12
econet,2021-05-24,2018-07-05
EcoNetGen,2019-07-14,2018-04-10
econetwork,2021-03-03,2019-01-11
economiccomplexity,2020-09-20,2019-07-02
econullnetr,2020-04-09,2017-09-25
ecoreg,2020-03-24,2010-08-25
ecoretriever,2017-03-11,2014-09-28
ecoseries,2021-02-21,2017-01-05
ecosim,2021-05-20,2013-02-07
EcoSimR,2021-03-15,2015-04-03
ECOSolveR,2021-01-14,2015-11-25
ecospace,2020-06-13,2015-10-29
ecospat,2021-02-19,2014-07-23
EcotoneFinder,2021-02-17,2020-11-23
ecotox,2020-03-06,2017-10-24
EcoTroph,2013-09-13,2012-02-16
ecoval,2020-04-25,2014-10-17
EcoVirtual,2018-10-11,2014-08-16
ecp,2020-10-25,2013-02-04
ecr,2017-07-10,2016-08-23
ectotemp,2020-07-16,2018-10-08
Ecume,2021-03-15,2021-02-17
ed50,2019-04-23,2018-11-28
EDA,2019-11-10,2018-01-15
eda4treeR,2020-06-29,2018-01-24
EDanalysis,2013-08-09,2012-08-04
edarf,2020-03-07,2016-10-25
edbuildmapr,2021-06-02,2020-03-20
edbuildr,2021-06-02,2020-03-19
edcc,2013-01-18,2011-11-14
edci,2018-05-16,2004-09-28
edeaR,2020-10-01,2016-01-14
edesign,2019-11-21,2012-10-29
edfReader,2019-03-21,2016-02-07
edgar,2020-05-22,2015-08-27
edgarWebR,2021-04-24,2017-08-16
edgebundleR,2016-03-19,2015-11-16
edgedata,2021-02-26,2020-04-24
edgeRun,2014-09-19,2014-08-13
edina,2020-03-25,2020-03-23
EDISON,2016-03-30,2012-07-16
editData,2021-04-02,2017-09-24
EditImputeCont,2020-03-03,2015-06-11
editrules,2018-07-01,2011-01-31
eDMA,2018-08-04,2016-11-12
edmcr,2017-12-19,2017-09-21
edmdata,2021-01-14,2020-08-17
EDMeasure,2018-02-25,2018-02-12
edmr,2016-05-02,2014-04-10
EDOIF,2021-03-28,2019-12-02
edpclient,2019-06-15,2017-05-28
EDR,2020-04-23,2007-11-20
edrGraphicalTools,2017-09-01,2010-04-27
edstan,2017-01-31,2016-08-05
EdSurvey,2021-03-23,2017-04-26
edtdbg,2011-12-23,2010-01-22
eechidna,2021-02-25,2016-05-23
eefAnalytics,2021-03-16,2017-02-14
eegAnalysis,2017-02-08,2014-06-22
eegkit,2018-11-06,2014-09-10
eel,2015-09-01,2015-08-20
EEM,2016-04-21,2015-08-05
eemR,2019-06-26,2015-11-19
eeptools,2020-04-23,2012-09-25
EFA.dimensions,2021-02-05,2020-07-20
EFA.MRFA,2021-06-09,2019-06-14
EFAtools,2021-03-27,2020-07-07
EFAutilities,2020-09-19,2016-12-03
EFDR,2021-04-18,2015-01-14
effectFusion,2021-01-26,2016-11-29
EffectiveDose,2011-04-13,2008-03-03
EffectLiteR,2019-12-10,2015-04-30
effectR,2018-09-30,2018-01-17
effects,2020-08-11,2003-04-27
effectsize,2021-05-25,2019-11-15
EffectStars,2019-10-22,2012-03-06
EffectStars2,2019-10-22,2016-09-01
EffectTreat,2020-07-04,2014-12-11
EfficientMaxEigenpair,2017-10-23,2016-12-07
effsize,2020-10-05,2013-07-23
eflm,2021-05-31,2021-02-15
efreadr,2017-05-06,2016-03-12
EFS,2017-07-24,2016-08-02
ega,2017-03-21,2014-11-13
EGAnet,2021-02-16,2019-05-02
egcm,2017-09-11,2014-01-30
egg,2019-07-13,2017-09-12
eggCounts,2020-01-19,2013-11-05
egonet,2019-03-08,2010-04-07
egor,2021-01-26,2018-07-02
egoTERGM,2020-03-07,2018-04-25
EGRET,2021-06-01,2014-11-20
EGRETci,2021-04-13,2015-08-14
eha,2021-04-30,2003-06-11
ehaGoF,2020-08-11,2019-11-19
ehelp,2020-04-05,2019-10-18
eHOF,2019-11-21,2013-03-03
EHR,2021-06-09,2017-10-20
EHRtemporalVariability,2021-05-31,2019-03-14
ei,2016-11-05,2016-01-20
eia,2021-02-21,2019-07-25
EIAdata,2020-05-12,2014-08-04
eicm,2020-10-02,2020-03-26
eiCompare,2020-04-03,2016-01-06
eigendog,2014-02-25,2011-12-20
eigenmodel,2019-05-28,2007-06-27
eikosograms,2018-08-22,2018-08-17
EILA,2013-09-14,2013-09-12
eimpute,2020-04-28,2020-03-20
eiopaR,2021-05-31,2021-04-28
eiPack,2020-02-13,2006-06-06
eiPartialID,2020-03-17,2019-04-11
eirm,2021-02-23,2020-10-27
eive,2018-05-16,2012-12-07
eiwild,2020-06-15,2013-12-21
EIX,2020-10-22,2019-05-31
eixport,2020-10-07,2018-03-01
el.convex,2013-12-21,2012-10-29
EL2Surv,2018-08-13,2017-06-28
elaborator,2020-09-24,2020-03-16
elasdics,2021-04-24,2021-04-10
elasso,2015-10-06,2015-09-17
ElastH,2019-12-21,2017-05-28
elastic,2021-03-16,2015-01-29
elasticnet,2020-05-15,2004-12-07
elasticsearchr,2021-06-08,2016-11-24
elec,2019-01-08,2009-05-04
elec.strat,2012-04-10,2011-07-25
EleChemr,2021-02-09,2019-03-18
elect,2019-04-03,2018-01-22
electionsBR,2021-01-30,2016-08-18
electoral,2020-05-20,2017-09-28
ElectroGraph,2012-07-27,2009-06-28
elementR,2020-09-02,2016-08-30
ElemStatLearn,2020-01-28,2005-10-07
elevatr,2021-01-21,2017-01-26
elhmc,2017-07-04,2016-09-28
ELISAtools,2021-01-21,2019-03-08
elisr,2021-05-16,2021-05-06
eList,2021-01-23,2021-01-11
elliplot,2018-06-08,2013-09-29
ellipse,2020-05-27,2000-08-19
ellipsis,2021-04-29,2018-08-31
elliptic,2019-03-14,2005-07-14
ellipticalsymmetry,2021-04-07,2020-11-30
elmNN,2018-06-17,2012-07-18
elmNNRcpp,2021-05-04,2018-07-05
ELMSO,2020-01-18,2018-09-03
ELMSurv,2019-05-29,2017-09-03
eLNNpaired,2018-07-20,2017-04-09
elo,2020-01-14,2017-08-16
EloChoice,2019-02-11,2015-10-12
EloOptimized,2021-06-10,2018-09-17
EloRating,2020-03-12,2014-03-20
elrm,2019-11-25,2006-11-20
ElstonStewart,2014-06-13,2014-06-11
ELT,2016-04-11,2014-01-24
ELYP,2018-08-19,2015-03-27
em2,2014-08-30,2013-08-11
EMA,2021-04-03,2010-10-12
EMAtools,2017-08-03,2017-05-15
emax.glm,2020-04-09,2019-07-04
emayili,2021-04-30,2020-03-05
emba,2021-01-07,2019-10-21
EMbC,2019-12-16,2015-07-28
embed,2021-01-16,2018-09-15
EmbedSOM,2020-02-12,2019-08-19
embryogrowth,2021-06-04,2014-08-15
EMC,2011-04-13,2008-01-13
EMCC,2017-11-19,2008-02-06
Emcdf,2020-01-25,2017-06-02
EMCluster,2021-03-16,2012-12-12
EMD,2018-12-05,2008-03-29
emdatr,2015-06-20,2013-11-22
emdbook,2020-02-19,2007-01-22
emdi,2021-05-17,2016-11-08
emdist,2012-12-02,2011-09-14
EMDomics,2015-04-03,2014-11-17
emg,2020-06-20,2010-08-31
emhawkes,2021-02-16,2018-09-17
emil,2019-04-22,2014-07-31
emIRT,2020-02-04,2015-03-01
EmissV,2021-03-11,2018-05-31
EmiStatR,2019-03-19,2016-07-22
EMJumpDiffusion,2015-06-19,2009-04-16
EML,2021-02-27,2016-12-20
emld,2020-09-27,2019-03-06
eMLEloglin,2016-11-30,2016-11-24
EMMAgeo,2019-12-16,2013-06-21
emme2,2013-01-26,2003-06-14
emmeans,2021-06-01,2017-10-20
EMMIXcontrasts,2017-04-24,2014-02-23
EMMIXcontrasts2,2018-02-16,2017-05-03
EMMIXcskew,2020-05-27,2017-02-08
EMMIXgene,2020-03-23,2018-04-03
EMMIXmfa,2019-12-16,2018-10-19
EMMIXskew,2020-07-01,2013-11-13
EMMIXuskew,2019-01-26,2013-11-11
EMMLi,2017-02-17,2016-06-06
EMMREML,2015-07-22,2014-02-26
emoa,2020-03-06,2010-05-17
emojifont,2021-04-20,2016-02-26
emon,2017-03-09,2016-09-22
emov,2016-04-04,2015-04-09
EMP,2019-07-24,2014-03-31
empirical,2019-03-12,2018-09-17
empiricalBayes,2009-10-30,2008-05-07
EmpiricalCalibration,2021-03-04,2016-02-15
empiricalFDR.DESeq2,2015-05-27,2014-11-25
emplik,2020-05-20,2001-11-26
emplik2,2021-05-31,2009-04-28
ems,2021-03-10,2017-04-26
EMSaov,2018-05-09,2016-08-12
EMSC,2020-06-19,2016-03-30
EMSHS,2020-02-09,2018-07-31
EMSS,2021-05-10,2020-05-29
emstreeR,2020-11-30,2018-12-03
EMT,2012-09-22,2010-04-02
emu,2013-04-12,2008-02-16
emudata,2013-04-12,2012-07-09
emulator,2021-04-25,2009-07-18
emuR,2021-03-30,2016-03-25
EMV,2009-02-23,2001-09-06
EMVC,2018-06-01,2013-08-27
EMVS,2019-12-14,2018-04-24
ENA,2014-12-07,2012-07-18
enaR,2020-03-07,2012-10-14
enc,2019-12-19,2017-11-15
EncDNA,2019-05-28,2018-10-02
encode,2019-04-25,2017-02-18
encryptedRmd,2020-12-09,2020-05-08
encryptr,2019-04-25,2019-03-25
endogMNP,2010-04-02,2009-06-22
endorse,2018-11-06,2012-01-16
endtoend,2019-07-07,2016-09-11
energy,2021-02-22,2004-02-06
energyr,2018-12-02,2016-07-24
enerscape,2021-05-21,2021-02-12
eNetXplorer,2020-09-15,2018-04-25
english,2020-01-26,2011-01-03
EngrExpt,2009-08-23,2009-04-15
enigma,2018-02-12,2014-10-17
ENiRG,2020-06-15,2014-10-09
ENMeval,2021-05-19,2014-08-26
ENmisc,2020-06-30,2011-01-03
ENMTools,2021-05-07,2020-07-29
ennet,2021-05-12,2020-11-24
enpls,2019-05-18,2014-10-03
EnQuireR,2018-03-05,2009-06-14
enRich,2017-12-17,2013-05-31
enrichR,2021-02-02,2017-04-02
enrichvs,2020-02-02,2011-04-27
enrichwith,2020-01-10,2016-08-08
EnsCat,2017-01-31,2017-01-18
ensemble,2008-02-16,2008-01-23
EnsembleBase,2016-09-13,2014-11-22
ensembleBMA,2018-01-18,2006-02-08
EnsembleCV,2016-09-13,2014-11-26
ensembleEN,2019-03-24,2018-01-04
ensembleMOS,2018-03-22,2013-03-17
EnsemblePCReg,2016-09-14,2014-11-28
EnsemblePenReg,2016-09-14,2014-11-28
ensemblepp,2019-04-22,2017-09-20
ensembleTax,2021-05-21,2021-01-11
ensurer,2015-04-21,2014-11-18
entropart,2021-06-04,2013-09-10
entropy,2021-04-25,2008-09-03
EntropyEstimation,2015-01-04,2014-04-13
EntropyExplorer,2015-06-11,2015-03-17
entrymodels,2020-05-06,2019-11-25
envalysis,2021-03-05,2018-04-27
EnvCpt,2021-03-29,2016-10-13
envDocument,2019-08-19,2017-03-11
envelope,2012-11-01,2012-10-29
enveomics.R,2020-04-11,2016-01-12
envi,2021-03-15,2020-12-22
enviGCMS,2020-06-04,2016-11-30
enviPat,2019-04-08,2013-06-24
enviPick,2016-06-06,2014-07-14
envir,2021-02-27,2020-11-26
envirem,2021-05-14,2016-09-16
EnviroStat,2015-06-03,2014-03-08
envlpaster,2016-02-17,2015-12-16
envnames,2020-12-08,2018-07-22
EnvNicheR,2016-08-08,2013-07-09
envoutliers,2020-05-07,2019-11-05
EnvStats,2020-10-21,2013-10-30
eoffice,2020-11-18,2019-05-31
epade,2013-02-22,2011-08-15
epandist,2016-02-04,2015-09-27
epanet2toolkit,2020-01-11,2017-10-20
epanetReader,2018-06-26,2015-09-08
ePCR,2019-11-24,2017-12-21
EPGLM,2018-01-19,2015-07-31
eph,2020-06-25,2019-09-03
Epi,2021-02-27,2005-05-10
epi2loc,2015-07-01,2014-07-04
epibase,2014-01-09,2013-05-26
epibasix,2018-11-20,2007-07-28
EpiBayes,2019-01-23,2019-01-23
epicalc,2015-05-12,2006-11-23
epicontacts,2017-11-21,2017-04-27
EpiContactTrace,2020-12-12,2012-06-12
EpiCurve,2020-08-26,2017-03-14
epidata,2020-08-26,2017-01-08
epiDisplay,2018-05-10,2015-07-01
EpiDynamics,2020-02-13,2014-08-21
EpiEstim,2021-01-07,2012-06-07
epifit,2018-06-01,2015-08-21
epifitter,2020-11-26,2020-10-29
epigraphdb,2021-03-29,2020-08-26
epiGWAS,2019-09-08,2018-12-16
EpiILM,2020-09-30,2017-04-14
EpiILMCT,2020-01-16,2017-12-07
epikit,2020-09-07,2020-03-05
epimdr,2020-01-25,2018-10-26
EpiModel,2021-05-15,2013-04-08
epinet,2018-02-14,2010-01-17
epinetr,2021-01-10,2020-11-04
EpiNow2,2020-12-14,2020-09-01
epiR,2021-06-01,2008-03-24
EpiReport,2021-02-04,2018-11-14
EpiResTest,2014-12-07,2014-12-05
episensr,2021-02-23,2015-03-31
episheet,2020-06-15,2016-08-30
EpiSignalDetection,2018-11-15,2018-11-14
episode,2019-12-01,2017-10-29
epistasis,2016-11-23,2016-11-07
EpiStats,2021-06-07,2017-12-12
EpistemicGameTheory,2017-05-11,2017-05-10
epitab,2018-07-04,2017-11-09
epitable,2018-04-02,2017-09-27
epitools,2020-03-22,2004-11-09
epitrix,2019-01-15,2017-11-26
epitweetr,2021-04-09,2020-10-01
EpiWeek,2018-05-03,2016-04-28
eplusr,2021-05-29,2018-07-22
eply,2018-04-06,2017-01-27
epoc,2019-08-26,2011-04-05
epos,2021-02-20,2018-10-08
epr,2017-11-16,2012-08-23
epsi,2013-03-22,2004-09-28
EPT,2020-02-01,2019-11-15
epubr,2021-02-20,2018-05-30
epuR,2020-09-27,2020-04-10
epwshiftr,2021-05-26,2020-07-07
EPX,2020-09-20,2020-07-03
epxToR,2020-05-21,2017-02-14
eq5d,2021-04-12,2019-05-22
EQL,2019-08-30,2009-09-28
eqn2svg,2020-06-05,2019-10-06
eqs2lavaan,2013-11-18,2013-07-29
eqtl,2012-03-08,2008-09-01
Equalden.HD,2019-03-11,2018-05-29
equaltestMI,2021-01-06,2017-08-04
equate,2018-04-08,2009-11-01
equateIRT,2021-05-31,2013-06-24
equateMultiple,2021-04-06,2017-11-02
equatiomatic,2021-01-30,2020-08-27
EquiNorm,2013-09-23,2010-06-04
equivalence,2016-05-14,2006-02-08
equSA,2020-10-22,2017-02-22
ER,2021-03-12,2020-08-17
erah,2021-05-11,2016-04-15
erboost,2015-08-28,2013-10-13
ercv,2019-10-15,2017-07-17
erer,2020-05-01,2011-02-04
ergm,2020-10-14,2008-01-14
ergm.count,2019-05-15,2013-04-27
ergm.ego,2020-11-16,2016-04-19
ergm.graphlets,2018-10-03,2013-10-24
ergm.rank,2019-05-15,2016-04-19
ergm.userterms,2019-05-15,2011-02-03
ergMargins,2020-10-20,2019-07-26
ergmito,2020-08-10,2020-02-01
erhcv,2019-12-11,2018-06-10
erify,2021-05-30,2021-04-16
eRm,2021-02-15,2006-09-13
ERP,2019-12-13,2014-04-04
erp.easy,2017-03-02,2015-09-25
err,2019-04-25,2018-10-29
erratum,2021-02-22,2020-12-21
errint,2017-01-23,2016-01-18
errorist,2020-02-24,2018-01-30
errorizer,2016-12-11,2016-11-06
errorlocate,2021-05-03,2016-12-30
errors,2020-11-10,2017-04-24
errum,2020-03-20,2020-03-19
ERSA,2020-07-25,2018-04-05
eRTG3D,2020-07-27,2019-09-19
es.dif,2020-05-02,2019-01-26
esaBcv,2015-05-29,2015-04-08
esaddle,2021-04-26,2016-11-28
esc,2019-12-04,2016-07-08
escalation,2020-10-18,2020-03-08
esd4all,2013-03-02,2009-10-26
esDesign,2018-11-23,2018-08-10
eSDM,2021-05-04,2019-07-26
eseis,2019-12-17,2018-06-14
ESG,2020-11-29,2013-01-14
ESGtoolkit,2020-10-14,2014-06-13
eshrink,2020-09-09,2017-04-06
ESKNN,2020-03-29,2015-09-13
esmprep,2019-07-05,2017-08-30
esotericR,2015-06-19,2011-01-15
ESPRESSO,2014-08-18,2011-03-17
esquisse,2021-04-20,2018-09-29
esreg,2019-11-15,2017-08-17
ess,2021-05-31,2017-11-07
essHist,2019-05-10,2018-02-05
essurvey,2021-02-27,2018-04-06
estatapi,2020-04-12,2016-03-27
EstCRM,2015-07-13,2011-06-15
ESTER,2017-12-10,2017-10-16
estimability,2018-02-11,2015-01-31
EstimateGroupNetwork,2021-02-10,2017-03-20
EstimationTools,2021-03-10,2019-06-06
estimatr,2021-01-17,2018-01-29
EstimDiagnostics,2021-04-16,2020-12-10
estmeansd,2020-08-13,2019-01-11
EstMix,2018-09-13,2018-08-31
estout,2013-02-26,2009-05-28
estprod,2020-07-20,2017-07-24
EstSimPDMP,2013-12-03,2012-04-10
estudy2,2020-05-01,2018-02-16
esvis,2020-05-01,2017-08-13
etable,2021-05-22,2011-10-23
ETAS,2021-03-15,2012-06-25
etasFLP,2020-07-17,2014-01-09
ETC,2009-01-30,2008-01-14
ether,2020-01-25,2018-01-03
ethnobotanyR,2021-01-06,2019-01-08
EthSEQ,2021-02-18,2017-04-03
etl,2021-05-17,2016-06-08
ETLUtils,2020-08-03,2012-04-03
etm,2020-08-26,2008-07-15
etma,2016-04-10,2015-10-01
etrader,2021-02-22,2020-11-26
etseed,2019-09-23,2016-09-08
EuclideanMaps,2012-09-21,2011-01-12
eudract,2021-02-24,2019-11-07
eulerr,2020-03-10,2016-10-16
eurlex,2021-03-14,2020-08-19
euroMix,2017-07-02,2015-12-10
europepmc,2020-05-31,2016-07-13
europop,2017-02-24,2017-01-17
EurosarcBayes,2017-11-15,2015-11-18
eurostat,2021-05-14,2015-03-20
ev.trawl,2020-02-13,2018-12-03
eva,2020-02-13,2015-12-29
evabic,2020-06-12,2020-03-08
EvalEst,2021-02-28,2009-10-13
evalITR,2020-10-14,2020-02-20
evaluate,2019-05-28,2010-07-24
evaluator,2020-04-16,2017-02-26
EValue,2021-04-01,2017-10-30
Evapotranspiration,2020-06-01,2014-01-14
evclass,2017-03-20,2016-06-21
evclust,2021-05-28,2016-05-28
EvCombR,2014-04-24,2013-09-10
evd,2018-04-25,2002-02-01
evdbayes,2014-03-31,2004-06-03
eVenn,2018-05-10,2010-06-25
event,2018-05-24,1999-04-21
event.chart,2008-02-16,2001-05-06
eventdataR,2018-03-20,2017-06-18
EventDetectR,2020-10-10,2018-10-26
eventglm,2021-06-01,2020-11-06
eventInterval,2015-10-20,2013-11-10
eventstudies,2019-01-22,2013-05-06
EventStudy,2019-03-14,2017-05-20
EVER,2014-11-30,2008-09-12
evgam,2020-08-26,2020-03-08
evian,2019-05-23,2018-07-18
evidence,2018-05-15,2018-03-02
evidenceFactors,2020-02-20,2016-08-24
EvidenceSynthesis,2021-01-18,2020-11-19
evir,2018-03-20,2004-05-05
evmix,2019-09-03,2013-07-06
evobiR,2015-09-06,2013-10-21
evolqg,2021-05-28,2015-05-21
evolvability,2015-06-02,2014-06-10
evoper,2018-08-31,2016-06-16
evora,2015-06-19,2013-11-04
EvoRAG,2014-07-08,2014-01-06
evt0,2013-12-24,2013-11-16
evtree,2019-05-26,2011-09-30
EWGoF,2019-03-01,2014-03-31
ewoc,2020-06-07,2017-10-18
EWOC2,2021-06-07,2019-03-29
EWS,2021-02-24,2020-04-07
Exact,2020-10-03,2012-03-22
exact2x2,2020-08-03,2009-07-22
exactci,2017-10-02,2010-01-27
ExactCIdiff,2013-07-04,2012-12-24
exactDistr,2008-02-16,2000-06-19
exactextractr,2021-05-10,2019-08-01
exactLoglinTest,2013-02-05,2003-07-29
exactmaxsel,2012-11-01,2006-05-10
exactmeta,2014-09-02,2013-11-25
ExactMultinom,2020-09-04,2020-09-04
ExactNumCI,2013-11-08,2013-02-09
ExactPath,2018-06-17,2013-02-06
exactRankTests,2021-04-16,2001-02-20
ExactSampling,2014-01-01,2013-04-08
ExamPAData,2021-05-26,2021-01-15
exampletestr,2021-04-24,2017-03-18
exams,2020-04-06,2008-11-10
exams.mylearn,2021-04-19,2020-05-25
exams2sakai,2021-04-22,2021-03-20
ExceedanceTools,2014-07-30,2013-03-01
excel.link,2021-03-21,2011-11-20
excelR,2020-03-09,2019-07-18
excelstrippr,2021-01-07,2021-01-05
excerptr,2019-04-25,2017-04-25
exCon,2017-07-26,2014-10-29
excursions,2021-01-21,2013-09-24
