Package,Score,RStudio,Days up,Total dl,Median dl,Mean dl
conquer,6.08,0,420,2891182,7243,6867
gitcreds,6.04,0,215,1364440,7350,6317
parallelly,5.93,0,232,1316954,5136,5652
cpp11,5.32,1,334,8493671,26702,25354
terra,5.05,0,446,1093965,89,2447
cachem,4.86,1,142,2172537,16396,15193
rbibutils,4.55,0,326,475612,1547,1454
bslib,4.49,1,135,1428561,11080,10504
waldo,4.44,1,419,4495630,8552,10704
ggtext,4.4,0,370,471690,1317,1271
textshaping,4.39,1,265,2642610,1845,9935
brio,4.34,1,440,4297979,7064,9746
spatstat.core,4.14,0,138,127516,773,917
spatstat.geom,4.12,0,145,131137,723,898
gridtext,4.11,0,502,486613,1112,967
spatstat.linnet,3.83,0,124,83815,654,671
rle,3.77,0,257,169778,686,658
SeuratObject,3.5,0,145,70577,487,483
mathjaxr,3.47,0,397,199122,288,500
distributional,3.45,0,365,179790,496,491
palmerpenguins,3.31,0,321,136565,364,424
progressr,3.2,0,503,195681,391,388
jquerylib,3.15,1,447,1331452,29,2972
dfidx,3.1,0,397,138412,340,348
geometries,3.08,0,299,100311,274,334
recom,3.06,0,5,1514,19,252
spatstat.sparse,2.95,0,370,109978,15,296
distro,2.75,0,212,49913,225,234
correlation,2.71,0,450,106444,212,236
ggpp,2.62,0,12,2234,108,172
wk,2.58,0,394,81786,212,207
slider,2.55,1,489,798700,1595,1630
datamods,2.54,0,113,20826,141,183
broom.helpers,2.5,0,264,49180,182,186
usdata,2.48,0,344,64153,188,186
airports,2.48,0,345,64005,185,185
cherryblossom,2.45,0,349,63045,182,180
warp,2.44,1,512,752267,1452,1466
ipmisc,2.42,0,489,87685,171,179
babelgene,2.33,0,44,6252,145,139
ggdist,2.33,0,360,57489,154,159
scattermore,2.31,0,460,73061,23,158
RcppDate,2.24,0,442,65566,149,148
stringfish,2.19,0,374,52037,121,139
lares,2.12,0,9,1025,103,102
Signac,2.08,0,453,57402,58,126
ggrastr,2.05,0,357,43291,74,121
measurementProtocol,2.01,0,55,5738,102,102
tidyBF,2.01,0,446,52472,114,117
downlit,2.01,1,281,258364,912,916
dreamerr,2,0,420,48992,112,116
bibliometrixData,1.88,0,181,17723,110,97
pubmedR,1.88,0,446,46166,102,103
dimensionsR,1.87,0,446,45779,103,102
webfakes,1.84,0,175,16399,54,93
workflowsets,1.83,1,83,59463,571,708
harmony,1.82,0,7,599,45,75
aplot,1.81,0,436,42053,84,96
modeltime,1.8,0,352,33210,81,94
quanteda.textstats,1.79,0,184,16426,72,89
coronavirus,1.77,0,472,43776,73,93
lightgbm,1.75,0,261,22843,85,87
quanteda.textmodels,1.73,0,469,42045,79,89
shinydisconnect,1.73,0,321,28029,84,87
report,1.68,0,55,4125,72,74
leaflet.extras2,1.67,0,387,32081,79,83
equatags,1.66,0,60,4441,72,73
bbotk,1.63,0,320,25242,73,79
mlr3data,1.61,0,485,38607,78,79
ivreg,1.59,0,279,21004,70,75
COVID19,1.59,0,435,33615,67,77
quanteda.textplots,1.57,0,177,12742,56,72
modelbased,1.54,0,514,38373,56,75
tune,1.51,1,484,279304,450,576
collapse,1.49,0,447,31492,57,70
modeltests,1.48,0,466,32562,70,70
targets,1.48,0,139,9018,59,64
circle,1.48,0,49,3003,58,60
gt,1.48,1,435,241688,452,554
rayimage,1.44,0,458,30634,62,67
rmsb,1.38,0,310,19006,60,61
Require,1.37,0,369,22768,42,62
betafunctions,1.37,0,403,24870,27,62
duckdb,1.32,0,272,15577,53,57
dashboardthemes,1.31,0,338,19441,58,57
fastmatrix,1.26,0,299,16277,52,54
zipcodeR,1.21,0,265,13637,42,51
nsyllable,1.21,0,191,9606,38,50
covid19.analytics,1.2,0,429,22530,47,52
ftExtra,1.19,0,446,23141,50,52
tidytuesdayR,1.19,0,348,17770,46,51
terrainmeshr,1.17,0,406,20564,50,51
emayili,1.16,0,461,23391,44,51
ggvenn,1.15,0,147,6873,47,46
Andromeda,1.15,0,394,19454,41,49
strucchangeRcpp,1.14,0,77,3423,42,44
nflfastR,1.13,0,281,13339,44,47
PROJ,1.11,0,519,25006,46,48
dash,1.09,0,370,17253,44,47
mlr3viz,1.09,0,518,24529,42,47
RcppSimdJson,1.09,0,483,22744,23,47
Microsoft365R,1.08,0,133,5768,32,43
rgee,1.07,0,133,5662,41,42
universals,1.04,0,374,16458,43,44
BGGM,1.03,0,489,21697,38,44
cubelyr,1.02,1,466,164063,382,351
fddm,1.01,0,334,14287,14,43
dashCoreComponents,0.99,0,399,16808,39,42
dashHtmlComponents,0.98,0,399,16731,38,42
extras,0.97,0,358,14746,40,41
equatiomatic,0.96,0,286,11479,36,40
kit,0.95,0,397,16026,27,40
landmap,0.94,0,210,8141,17,39
dashTable,0.94,0,391,15741,38,40
minidown,0.94,0,401,16168,35,40
bayesmodels,0.94,0,28,981,33,34
tarchetypes,0.94,0,128,4808,34,37
tidytable,0.94,0,485,19694,36,41
crsmeta,0.94,0,475,19199,37,40
